,dataid,year_house_constructed,house_num_rooms,house_square_feet,house_ceiling_height,sex_males,sex_females,residents_under_5,residents_6_to_12,residents_13_to_18,residents_19_to_24,residents_25_to_34,residents_35_to_49,residents_50_to_64,residents_older_65,education_level,total_annual_income,ceiling_fans_count
0,43,1973,8.0,1500.0,8,1,1,,,,,,,2.0,,College graduate,$10-000 - $19-999,6.0
1,1629,1992,10.0,2335.0,10,1,3,,,1.0,1.0,,2.0,,,Postgraduate degree,$100-000 - $149-999,5.0
2,2053,1930 or earlier,5.0,1050.0,11 ft.,None,1,,,,,,,,1.0,Postgraduate degree,$20-000 - $34-999,6.0
3,4517,1975,8.0,1600.0,8,1,None,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,College graduate,$20-000 - $34-999,4.0
4,1600,1939,8.0,1575.0,8.5,1,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Postgraduate degree,$100-000 - $149-999,4.0
5,2836,1999,5.0,3400.0,9,1,1,,,,,,,2.0,,College graduate,$150-000 - $299-000,6.0
6,2242,1999,4.0,3500.0,10,1,1,,,,,,,2.0,,Postgraduate degree,,6.0
7,3394,1978,8.0,2800.0,9,1,1,,,,,,,2.0,,Some college/trade/vocational school,$150-000 - $299-000,6.0
8,5371,1941,6.0,980.0,9,1,1,,,,,,2.0,,,Postgraduate degree,$100-000 - $149-999,4.0
9,2557,1965,16.0,3300.0,8 ft,1,1,,,,,,,1.0,1.0,Postgraduate degree,$100-000 - $149-999,6.0
10,2257,2002,8.0,4100.0,96,2,1,,1.0,,,,2.0,,,Some college/trade/vocational school,$100-000 - $149-999,5.0
11,5490,1964,9.0,1850.0,8,1,2,1.0,,,,2.0,,,,Postgraduate degree,$100-000 - $149-999,3.0
12,626,2006,6.0,,10,,2,,1.0,,,1.0,,,,College graduate,$20-000 - $34-999,4.0
13,7866,1987,4.0,1100.0,8,2,1,,,,,,3.0,,,Postgraduate degree,$75-000 - $99-999,5.0
14,5288,2000,7.0,3200.0,16,2,1,,,,1.0,,,2.0,,College graduate,$150-000 - $299-000,6.0
15,5511,1981,6.0,1140.0,7,1,None,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Postgraduate degree,$100-000 - $149-999,1.0
16,1572,2007,8.0,2100.0,10,1,1,,,,,,,2.0,,Some college/trade/vocational school,$100-000 - $149-999,6.0
17,2297,2011,4.0,1500.0,8,1,4,,2.0,1.0,,2.0,,,,Some college/trade/vocational school,$75-000 - $99-999,6.0
18,9605,1967,11.0,2200.0,8 ft,1,1,,,,,,,,2.0,College graduate,$75-000 - $99-999,
19,8223,1955,9.0,2300.0,8,2,None,,,2.0,,,2.0,,,High School graduate,$100-000 - $149-999,4.0
20,9931,,2.0,,,2,1,1.0,,,,2.0,,,,Some college/trade/vocational school,$20-000 - $34-999,4.0
21,2929,1950,3.0,1552.0,10?,1,1,,,,,,2.0,,,College graduate,$100-000 - $149-999,4.0
22,5746,1950,9.0,1768.0,8,2,2,2.0,,,,1.0,1.0,,,College graduate,$100-000 - $149-999,6.0
23,6787,1985,5.0,1600.0,varies from 8ft to 15ft,1,1,,,,,0.0,2.0,,,Postgraduate degree,$150-000 - $299-000,5.0
24,4342,1953,8.0,1316.0,8,1,2,1.0,,,,,2.0,,,College graduate,$75-000 - $99-999,4.0
25,4594,1975,7.0,2506.0,"96""",1,1,,,,,,,2.0,,Some High School,,6.0
26,1741,1999,6.0,1993.0,?,2,1,,,,,2.0,,,1.0,Postgraduate degree,,2.0
27,7332,2002,9.0,2850.0,11.5,None,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Postgraduate degree,,5.0
28,5673,1980,6.0,1900.0,8 ft,3,2,,3.0,,,1.0,1.0,,,College graduate,$100-000 - $149-999,4.0
29,4231,1975,14.0,4200.0,8,1,1,,,,,,,1.0,1.0,Postgraduate degree,$150-000 - $299-000,5.0
30,9264,1996,9.0,2450.0,8 ft upstairs- 10 ft downstairs,1,2,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,Postgraduate degree,$100-000 - $149-999,5.0
31,9264,1996,8.0,2430.0,10,1,2,,,,1.0,,,2.0,,Postgraduate degree,$100-000 - $149-999,5.0
32,2198,1998,9.0,1936.0,9,,1,,,,,,,,,Postgraduate degree,$100-000 - $149-999,6.0
33,4957,2006,13.0,3300.0,10,2,3,0.0,1.0,2.0,,,2.0,,,Postgraduate degree,$150-000 - $299-000,6.0
34,2900,2008,16.0,3750.0,9,1,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,Postgraduate degree,$300-000 - $1-000-000,3.0
35,410,1947,8.0,1299.0,10,1,1,,,,,2.0,,,,Postgraduate degree,$100-000 - $149-999,5.0
36,9931,,2.0,,,2,1,1.0,,,,2.0,,,,Some college/trade/vocational school,$20-000 - $34-999,4.0
37,3085,1938,7.0,1300.0,9.5,,2,,,,1.0,,,1.0,,Postgraduate degree,$50-000 - $74-999,4.0
38,1953,1948,8.0,1600.0,8,1,1,,,,,,,2.0,,College graduate,$100-000 - $149-999,3.0
39,1069,,4.0,230.0,8,1,,,,,,,,1.0,,College graduate,$20-000 - $34-999,3.0
